age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
47,Unmarried,1,28,$25 - $49,13.7,Economy,Some college,8,0,2,3,m,5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
59,Married,18,209,$75+,76.8,Luxury,High school degree,22,0,3,5,f,2,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
25,Married,5,27,$25 - $49,13.8,Economy,High school degree,2,0,1,1,f,3,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
63,Married,31,478,$75+,73,Luxury,Did not complete high school,45,0,3,4,m,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
41,Unmarried,8,49,$25 - $49,23.9,Standard,College degree,14,0,2,2,m,2,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
66,Unmarried,24,30,$25 - $49,14.3,Economy,High school degree,1,0,1,2,m,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
20,Unmarried,1,36,$25 - $49,17.5,Standard,Some college,0,0,1,2,m,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1
47,Married,21,62,$50 - $74,31.200000000000003,Luxury,Some college,5,0,2,3,m,3,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
42,Unmarried,9,49,$25 - $49,24.5,Standard,Did not complete high school,12,0,2,3,f,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
35,Married,5,49,$25 - $49,24.3,Standard,College degree,9,0,2,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
24,Unmarried,2,23,Under $25,11.9,Economy,College degree,1,0,1,3,m,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
22,Unmarried,3,23,Under $25,11.5,Economy,College degree,0,0,1,3,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
32,Married,12,59,$50 - $74,29.8,Standard,Post-undergraduate degree,5,0,2,2,m,4,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1
50,Married,20,58,$50 - $74,29.200000000000003,Standard,Did not complete high school,8,0,2,5,m,2,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1
44,Married,8,46,$25 - $49,23.200000000000003,Standard,Did not complete high school,18,0,3,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
32,Unmarried,12,31,$25 - $49,15.4,Standard,College degree,1,0,1,1,m,2,1,1,0,0,NA,0,0,1,1,1,0,1,0,0,1
65,Unmarried,43,40,$25 - $49,20.9,Standard,Did not complete high school,10,0,2,4,f,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1
47,Married,21,181,$75+,90.4,Luxury,High school degree,21,0,3,4,f,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
42,Unmarried,5,53,$50 - $74,25.4,Standard,College degree,6,0,2,2,f,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
48,Unmarried,29,144,$75+,72.7,Luxury,High school degree,14,0,2,2,f,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1
29,Unmarried,4,22,Under $25,10.9,Economy,College degree,0,0,1,2,m,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1
36,Unmarried,3,43,$25 - $49,20.200000000000003,Standard,High school degree,0,0,1,1,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
34,Unmarried,15,23,Under $25,11.4,Economy,High school degree,4,0,1,4,f,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
41,Unmarried,22,68,$50 - $74,34.300000000000004,Luxury,College degree,0,0,1,1,f,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
26,Unmarried,6,41,$25 - $49,20.9,Standard,High school degree,0,0,1,1,m,3,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
25,Unmarried,6,23,Under $25,11.5,Economy,College degree,0,0,1,1,m,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
53,Unmarried,23,145,$75+,70.9,Luxury,High school degree,29,0,3,5,m,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
32,Married,1,33,$25 - $49,16.8,Standard,High school degree,2,0,1,3,f,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
46,Unmarried,7,83,$75+,40.5,Luxury,High school degree,14,0,2,2,f,3,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
44,Married,5,39,$25 - $49,19.200000000000003,Standard,Did not complete high school,17,0,3,5,f,6,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
39,Unmarried,17,42,$25 - $49,20.6,Standard,College degree,5,0,2,1,f,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
39,Married,14,43,$25 - $49,22.3,Standard,Did not complete high school,11,0,2,4,f,2,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1
40,Unmarried,0,38,$25 - $49,18.9,Standard,College degree,2,0,1,3,f,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
25,Unmarried,4,59,$50 - $74,28.4,Standard,College degree,2,0,1,2,f,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1
29,Married,2,57,$50 - $74,28.700000000000003,Standard,High school degree,6,0,2,2,m,4,0,1,0,0,NA,0,1,1,1,1,0,1,0,1,1
23,Unmarried,0,24,Under $25,11.8,Economy,College degree,0,0,1,1,m,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1
48,Unmarried,25,45,$25 - $49,22.700000000000003,Standard,Did not complete high school,11,0,2,3,m,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
24,Unmarried,5,22,Under $25,10.6,Economy,High school degree,0,0,1,2,m,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1
59,Unmarried,24,30,$25 - $49,14.5,Economy,Some college,5,0,2,1,m,3,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
31,Married,2,30,$25 - $49,15.1,Standard,High school degree,3,0,1,1,f,4,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1
70,Unmarried,23,21,Under $25,10.3,Economy,High school degree,21,1,3,2,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
37,Unmarried,15,51,$50 - $74,24.700000000000003,Standard,College degree,5,0,2,1,m,6,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1
59,Married,15,43,$25 - $49,21,Standard,Some college,8,0,2,3,f,4,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
38,Unmarried,8,30,$25 - $49,15.2,Standard,College degree,0,0,1,1,f,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
56,Unmarried,35,37,$25 - $49,18.1,Standard,Some college,5,0,2,3,m,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1
48,Married,19,23,Under $25,11.4,Economy,Did not complete high school,7,0,2,4,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
28,Married,2,16,Under $25,7.9,Economy,College degree,0,0,1,1,m,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
20,Married,0,19,Under $25,9.6,Economy,High school degree,1,0,1,4,m,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
68,Unmarried,23,22,Under $25,10.7,Economy,High school degree,24,1,3,3,m,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
26,Unmarried,2,38,$25 - $49,18.6,Standard,College degree,1,0,1,1,m,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
29,Married,4,74,$50 - $74,37.3,Luxury,College degree,0,0,1,5,f,4,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1
23,Married,3,13,Under $25,6.4,Economy,High school degree,1,0,1,1,m,4,1,1,0,0,NA,1,1,1,0,1,0,1,1,1,1
61,Unmarried,37,41,$25 - $49,20.200000000000003,Standard,Some college,21,1,3,4,m,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1
39,Unmarried,12,48,$25 - $49,25.6,Standard,Did not complete high school,6,0,2,2,f,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
47,Married,13,176,$75+,88.9,Luxury,College degree,5,0,2,2,f,3,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
36,Unmarried,2,40,$25 - $49,20.4,Standard,College degree,8,0,2,2,m,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
61,Unmarried,17,837,$75+,73.4,Luxury,High school degree,42,0,3,5,m,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
32,Married,1,71,$50 - $74,35.4,Luxury,College degree,9,0,2,2,m,2,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1
28,Married,0,30,$25 - $49,14.4,Economy,College degree,5,0,2,2,m,4,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1
66,Married,46,42,$25 - $49,19.9,Standard,High school degree,10,0,2,2,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
35,Married,9,51,$50 - $74,25.4,Standard,Did not complete high school,14,0,2,4,m,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
55,Married,23,352,$75+,67.7,Luxury,College degree,23,0,3,4,m,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
47,Unmarried,27,122,$75+,60.400000000000006,Luxury,College degree,20,0,3,5,f,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1
34,Married,0,38,$25 - $49,19.6,Standard,Some college,7,0,2,2,m,5,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
29,Unmarried,0,67,$50 - $74,34.2,Luxury,High school degree,10,0,2,2,m,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
36,Unmarried,5,31,$25 - $49,15.6,Standard,Some college,0,0,1,1,m,3,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
38,Married,4,51,$50 - $74,25.9,Standard,Some college,7,0,2,2,m,4,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1
33,Married,10,35,$25 - $49,17.3,Standard,College degree,2,0,1,3,m,5,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
46,Married,12,88,$75+,42.7,Luxury,High school degree,23,0,3,4,f,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
29,Unmarried,5,60,$50 - $74,30.4,Luxury,College degree,2,0,1,3,f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Married,7,53,$50 - $74,25,Standard,Some college,2,0,1,1,f,6,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1
38,Unmarried,1,42,$25 - $49,20.5,Standard,High school degree,6,0,2,2,m,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
39,Married,1,29,$25 - $49,14.3,Economy,Did not complete high school,7,0,2,3,f,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
34,Married,3,62,$50 - $74,31,Luxury,Post-undergraduate degree,2,0,1,4,m,7,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
58,Married,21,46,$25 - $49,22.200000000000003,Standard,High school degree,0,0,1,2,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
29,Unmarried,2,31,$25 - $49,15.4,Standard,Did not complete high school,12,0,2,2,f,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
64,Unmarried,16,16,Under $25,8.1,Economy,College degree,8,1,2,2,m,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1
41,Unmarried,12,36,$25 - $49,18.2,Standard,Some college,0,0,1,2,m,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1
44,Unmarried,24,25,$25 - $49,11.9,Economy,Did not complete high school,1,0,1,1,f,2,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1
60,Married,38,82,$75+,40.3,Luxury,Did not complete high school,28,0,3,3,f,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
32,Unmarried,7,25,$25 - $49,12.7,Economy,College degree,4,0,1,4,f,2,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
35,Unmarried,7,37,$25 - $49,18.6,Standard,Some college,9,0,2,4,m,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
58,Married,19,19,Under $25,9.6,Economy,High school degree,3,0,1,1,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
37,Unmarried,15,30,$25 - $49,15,Standard,High school degree,6,0,2,4,f,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1
63,Married,28,208,$75+,83.1,Luxury,High school degree,28,0,3,4,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
22,Married,0,25,$25 - $49,12.1,Economy,Some college,0,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
66,Married,29,72,$50 - $74,34.800000000000004,Luxury,High school degree,20,0,3,2,f,3,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
26,Unmarried,1,19,Under $25,9.4,Economy,Did not complete high school,0,0,1,1,m,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
44,Unmarried,13,104,$75+,51,Luxury,High school degree,11,0,2,4,f,1,1,0,0,0,NA,1,1,1,1,1,1,0,0,0,1
41,Unmarried,9,25,$25 - $49,12.4,Economy,High school degree,2,0,1,3,f,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
26,Married,7,15,Under $25,7.6,Economy,Did not complete high school,0,0,1,2,m,3,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
48,Unmarried,27,371,$75+,74.6,Luxury,College degree,20,0,3,2,f,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
45,Unmarried,18,135,$75+,67.60000000000001,Luxury,Did not complete high school,26,0,3,3,f,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
26,Married,1,50,$50 - $74,25.3,Standard,High school degree,5,0,2,4,m,5,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
31,Unmarried,4,22,Under $25,11.2,Economy,Did not complete high school,4,0,1,5,f,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
54,Married,15,354,$75+,70.7,Luxury,High school degree,36,0,3,5,m,3,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1
34,Married,15,38,$25 - $49,18.3,Standard,College degree,7,0,2,5,m,5,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
